NUM,Effort,Tran_Num,UseCase_Num,KSLOC,Personnel,Type,Priori_COCOMO_Estimate,COCOMO_Estimate,Activity_Num,Actor_Num,Avg_Actor,Boundary_Num,ControlNum,Entity_Num,Component_num,Attribute_num,Operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Depth_Inheritance_Tree,para_num,usage_num,real_num,assoc_num,externaloper_num,objectdata_num,avg_operation,avg_attribute,avg_parameter,avg_instVar,weightedoper_num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,NT,Avg_TL,Avg_TD,Arch_Diff,UAW,TCF,EF,Simple_UC,Average_UC,Complex_UC,UUCP,UCP,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,NOET,NOAAE,NORT,NEM,NSR,NOA,NOS,WMC,MPC,NOCH,DIT,CBO,NIVPC,NUMS,NCI,NCIF,RR,NTLC,ANWMC,ADIT,NOCPBC,EIF,ILF,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,DET,FTR,NT,NOC,NOA,NOUC,NOR,ANAPUC,ANRPUC,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCAL,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOC,NOAPC,NODET,NORET,NOMPC,NPPM,NMT
42,162.7350196,43,32,7.25,5,Information System,828,1832,114,4,0.125,50,68,44,85,48,31,44,44,3.631963055,5.480351229,9,4,21,70,56,47,14,10,0.72,1.090909,0.67,1.090909,2.64,4,2,12,4,3,10,12,43,10.82353,2.076471,22.47474,14,1,1,16,0,0,80,80,200,182,173,200,182,173,0,48,4,33,18,48,16,2.25,1.09,0,4,0,1.090909,0,0,0,0,44,0.09,4,0,0,0,518,42,42,105,42,42,42,42,168,0,0,0,44,0,16,0,0,0,44,0,0,4,19,27,48,0,0.7,0.45,1.090909,0,0,44,1.090909,0,0,0,0.71,26
43,1224.437495,0,0,7.14,8,Tool,932,1223,567,3,0.32,345,0,0,0,64,26,0,0,3.851524178,8.255919565,10,6,13,37,38,0,24,12,0.94,3.52,0.81,2.21,2.41,4,21,0,3,0,14,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,21,24,64,0,2.75,1.18,0,6,0,3.01,0,0,0,0,0,0.05,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,42,0,1.21,0.97,2.01,0,0,0,3.12,0,0,0,0.77,17
44,1075.327186,0,0,6.7,9,Website,193,873,291,4,0.12,303,0,5,0,25,22,5,5,7.553191413,5.296416111,10,10,22,55,31,4,23,5,0.74,5,0.55,5,2.68,4,23,0,5,0,14,0,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,26,18,25,0,2.61,0.92,0,10,0,5,0,0,0,0,5,0.04,10,0,0,0,35,0,0,1.3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,27,23,25,0,0.7,0.94,5,0,0,5,5,0,0,0,0.88,32
45,486.934644,0,0,7.66,8,Website,2332,993,132,2,0.33,201,0,5,0,113,6,5,5,7.335293885,7.825998901,6,10,9,7,7,5,6,13,1.2,0.2,1.8,0.2,0.6,3,21,0,4,0,14,0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,113,0,0.6,1.2,0,10,0,0.2,0,0,0,0,5,0.12,10,0,0,0,47,0,0,1.3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,6,9,1,0,1.2,1.8,0.2,0,0,5,0.2,0,0,0,1.8,6
46,1374.37396,155,50,7.88,7,Information System,1283,2334,277,8,0.16,109,156,19,211,57,17,19,19,8.790368023,9.174692316,5,11,22,41,29,52,17,7,0.894737,3,0.91,3,1.5,4,9,35,3,60,9,35,155,12.28333,4.305221,52.88246,23,1,1,11,1,13,260,260,165,165,168,165,165,168,0,57,0,17,17,57,25,1.5,0.894737,0,11,0,3,0,0,0,0,19,0.078947,11,0,0,0,743,155,155,351.88,155,155,155,155,620,0,0,13,19,0,25,0,0,0,19,0,0,0,17,28,57,0,0.894737,0.61,3,0,0,19,3,0,0,0,0.77,17
47,2056.191925,172,48,7.41,7,Mobile App,283,1232,296,3,0.0625,83,214,25,231,18,57,25,25,5.073046063,7.918128614,7,5,18,98,63,61,57,6,2.28,0.72,0.86,0.72,4.2,4,20,25,4,79,15,25,172,10.98734,3.823133,42.00607,18,1,1,6,3,15,285,285,255,254,238,255,254,238,0,18,0,57,57,18,24,4.2,2.28,0,5,0,0.72,0,0,0,0,25,0.168,5,0,0,0,871,179,179,406.94,179,179,179,179,716,0,0,8,25,0,24,0,0,0,25,0,0,0,57,18,18,0,2.28,0.75,0.72,0,0,25,0.72,0,0,0,0.41,57
48,1918.323757,261,40,10.15,3,Website,2812,872,383,4,0.1,199,132,21,290,13,12,21,21,3.701009582,9.559716974,9,5,10,16,21,57,12,1,0.571429,0.619048,0.47619,0.619048,0.6,2,79,49,4,68,10,49,261,20.88235,6.851375,143.0728,12,1,1,2,0,18,280,280,240,254,222,240,254,222,0,13,0,12,12,13,20,0.6,0.571429,0,5,0,0.619048,0,0,0,0,21,0.028571,5,0,0,0,1123,261,261,588.28,261,261,261,261,1044,0,0,11,21,0,20,0,0,0,21,0,0,0,12,10,13,0,0.571429,0.47619,0.619048,0,0,21,0.619048,0,0,0,0.47619,12
49,887.2103898,75,38,8.83,5,Information System,1283,1832,191,3,0.078947368,43,166,30,141,99,20,30,30,5.084558894,5.774136749,7,7,24,28,25,141,31,26,0.56,3.3,0.67,3.3,1.18,4,2,12,3,39,7,12,75,8.384615,3.128489,26.23117,26,1,1,9,7,3,160,160,240,231,230,240,231,230,0,99,0,31,31,99,19,2.07,1.18,0,7,0,3.3,0,0,0,0,30,0.05,7,0,0,0,471,75,75,175.54,75,75,75,75,300,0,0,2,30,0,19,0,0,0,30,0,0,0,31,11,99,0,0.87,0.94,3.3,0,0,30,3.3,0,0,0,0.53,30
50,5600.279777,217,24,8.46,4,Website,1237,387,283,6,0.25,106,140,33,219,66,16,33,33,5.022817959,9.195651344,6,6,11,30,25,38,16,19,0.484848,2,0.333333,2,1.8,5,45,40,5,70,12,40,217,17.51429,5.981811,104.7671,29,1,1,0,2,10,170,170,160,164,164,160,164,164,0,66,0,16,16,66,12,1.8,0.484848,0,6,0,2,0,0,0,0,33,0.054545,6,0,0,0,1326,258,258,586.24,258,258,258,258,1032,0,0,24,33,0,12,0,0,0,33,0,0,0,16,11,66,0,0.484848,0.333333,2,0,0,33,2,0,0,0,0.333333,16
51,398.6364603,96,24,7.776,5,Information System,2333,840,183,5,0.208333333,106,18,21,136,28,31,21,21,7.676886446,5.159696132,6,8,27,48,54,73,31,5,1.47619,1.333333,0.82,1.333333,1.8,4,4,32,5,13,14,32,96,11.39394,3.947548,44.97813,13,1,1,0,2,10,170,170,160,156,151,160,156,151,0,28,0,31,31,28,12,1.8,1.47619,0,8,0,1.333333,0,0,0,0,21,0.085714,8,0,0,0,516,96,96,220.24,96,96,96,96,384,0,0,8,21,0,12,0,0,0,21,0,0,0,31,26,28,0,1.47619,0.56,1.333333,0,0,21,1.333333,0,0,0,0.59,31
52,379.2767038,52,20,12.263,5,Information System,2382,3182,125,2,0.1,34,114,20,95,113,16,20,20,4.475275264,6.393093165,7,5,20,39,16,52,16,1,0.8,0.15,1,0.15,1.8,6,20,19,6,3,13,25,52,8.9,4.189927,37.29035,18,1,1,0,9,1,105,105,145,144,134,145,144,134,0,3,0,16,16,113,10,1.8,0.8,0,5,0,0.15,0,0,0,0,20,0.09,5,0,0,0,378,55,55,127.88,55,55,55,55,220,0,0,5,20,0,10,0,0,0,20,0,0,0,16,20,3,0,0.8,1,0.15,0,0,20,0.15,0,0,0,1,16
53,2673.808397,199,22,5.56,5,Mobile App,1822,1234,294,5,0.227272727,93,208,20,221,48,20,20,20,5.314303285,7.540105304,6,6,24,47,25,46,18,7,0.51,2.4,0.59,2.4,2.57,2,109,16,2,45,7,18,199,22.62222,4.971516,112.4667,13,1,1,0,0,11,165,165,160,170,183,160,170,183,0,48,0,29,14,48,11,2.03,0.74,0,6,0,2.4,0,0,0,0,20,0.05,6,0,0,0,932,205,205,463.62,205,205,205,205,820,0,0,23,20,0,11,0,0,0,20,0,0,0,22,22,48,0,1.14,0.66,2.4,0,0,20,2.4,0,0,0,0.59,18
54,5552.868957,163,18,6.415,7,Website,511,293,198,5,0.277777778,37,134,32,154,48,94,32,32,4.261652859,7.496659627,6,5,94,117,137,94,94,8,2.9375,1.5,2.9375,1.5,3.9,8,86,6,8,26,15,14,163,35.65385,5.147822,183.5397,17,1,1,0,0,9,135,135,125,133,135,125,133,135,0,48,0,94,94,48,9,3.9,2.9375,0,5,0,1.5,0,0,0,0,32,0.121875,5,0,0,0,888,163,163,372.92,163,163,163,163,652,0,0,11,32,0,9,0,0,0,32,0,0,0,94,94,48,0,2.9375,2.9375,1.5,0,0,32,1.5,0,0,0,2.9375,94
55,347.0416781,35,14,9.23,8,Website,1626.4,1626.4,76,3,0.214285714,43,28,11,57,46,16,11,11,7.931573694,5.158375291,8,10,27,34,24,16,15,10,0.76,3,0.45,3.38,2.07,5,13,9,3,10,12,9,35,12.2,4.078999,49.76379,12,1,1,4,0,3,65,65,90,86,73,90,86,73,0,66,0,16,23,46,7,2.76,0.96,0,10,0,1.69,0,0,0,0,11,0.06,10,0,0,0,199,35,35,80.48,35,35,35,35,140,0,0,3,11,0,7,0,0,0,11,0,0,0,26,19,77,0,0.82,0.48,2.84,0,0,11,3.1,0,0,0,0.7,21
56,516.2636019,84,32,7.365,6,Website,1325.44,1656.8,186,8,0.25,55,126,51,135,208,75,51,51,5.699284427,9.851552778,6,7,163,106,85,98,75,25,1.470588,4.078431,3.196078,4.078431,4.8,3,13,18,3,47,10,21,84,5.851064,3.069381,17.95914,15,1,1,1,10,5,180,180,205,197,192,205,197,192,0,208,0,75,75,208,16,4.8,1.470588,0,7,0,4.078431,0,0,0,0,51,0.094118,7,0,0,0,683,84,84,201.42,84,84,84,84,336,0,0,5,51,0,16,0,0,0,51,0,0,0,75,163,208,0,1.470588,3.196078,4.078431,0,0,51,4.078431,0,0,0,3.196078,75
57,835.5094918,94,48,8.209,6,Website,1088.32,1360.4,221,6,0.125,76,178,15,168,79,15,15,15,5.963812942,6.021391127,8,6,18,34,20,40,17,10,0.92,2.94,0.75,1.81,2.65,2,12,13,2,38,12,15,94,9.394737,3.89969,36.63657,16,1,1,13,8,3,190,190,345,339,282,345,339,282,0,81,0,15,21,79,24,2.74,0.96,0,6,0,2.23,0,0,0,0,15,0.1,6,0,0,0,467,94,94,213.42,94,94,94,94,376,0,0,1,15,0,24,0,0,0,15,0,0,0,15,12,54,0,0.52,0.57,3.13,0,0,15,2.87,0,0,0,0.66,30
58,5679.675594,387,48,8.059,6,Website,280,9283,555,8,0.166666667,291,206,18,397,73,24,18,18,8.844421569,6.684539564,6,10,19,45,25,14,18,6,1.04,3.35,0.64,1.46,2.05,2,184,53,5,78,12,53,387,16.14103,7.053281,113.8472,16,1,1,1,0,23,350,350,375,409,400,375,409,400,0,48,0,18,27,73,24,2.42,1.03,0,10,0,3.24,0,0,0,0,18,0.05,10,0,0,0,1871,387,387,871.04,387,387,387,387,1548,0,0,8,18,0,24,0,0,0,18,0,0,0,17,23,46,0,0.74,0.9,2.21,0,0,18,2.32,0,0,0,0.46,25
59,142.7971725,44,30,8.2,6,Information System,1823,982,117,4,0.133333333,55,62,9,89,25,23,9,9,8.073517919,5.606821401,6,10,21,54,42,8,24,5,0.59,2.777778,0.73,2.777778,2.27,3,2,16,3,3,5,16,44,10.94444,2.734295,29.92534,17,1,1,13,2,0,85,85,175,171,171,175,171,171,0,25,0,32,26,25,15,1.81,0.63,0,10,0,2.777778,0,0,0,0,9,0.08,10,0,0,0,228,44,44,100.9,44,44,44,44,176,0,0,3,9,0,15,0,0,0,9,0,0,0,16,24,25,0,1.08,0.92,2.777778,0,0,9,2.777778,0,0,0,0.79,33
60,156.7556846,28,22,8.58,7,Website,928,827,74,8,0.363636364,10,88,15,55,24,31,15,15,8.832853802,8.405257964,8,9,19,60,48,39,16,10,0.51,1.6,0.83,1.6,2.55,2,3,0,2,20,7,0,28,5.95,3.82,22.729,17,1,1,11,0,0,55,55,130,124,114,130,124,114,0,24,3,25,22,24,11,1.79,1.21,0,9,0,1.6,0,0,0,3,15,0.06,9,0,0,0,196,27,27,63.86,27,27,27,27,108,0,0,0,15,0,11,0,0,0,15,0,3,0,21,24,24,0,0.7,0.76,1.6,0,0,15,1.6,0,0,0,0.8,15
61,183.3958572,32,16,6.53,9,Tool,834,1123,79,6,0.375,27,52,13,61,15,11,13,13,5.81039639,7.63483763,8,7,24,28,15,9,11,6,0.846154,1.153846,0.4,1.153846,0.9,5,9,0,4,6,8,0,32,13.66667,4.216374,57.62378,17,1,1,1,6,1,80,80,145,142,153,145,142,153,0,15,1,11,11,15,8,0.9,0.846154,0,7,0,1.153846,0,0,0,0,13,0.069231,7,0,0,0,213,32,32,74.54,32,32,32,32,128,0,0,4,13,0,8,0,0,0,13,0,0,1,11,12,15,0,0.846154,0.52,1.153846,0,0,13,1.153846,0,0,0,0.79,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,497.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
